Name,ctrl_1,ctrl_2,ctrl_3,ctrl_4,sp1A,sp1B1,sp1B2,sp2A1,sp2A2,sp2B1,sp2B2,sp3A,sp4A1,sp4A2,sp4B,sp4C1,sp4C2,sp4D,sp5A,sp5B,sp5C,sp6A,clin1,clin2
PA0894,6300,5665,5836,1419,8,1456,1570,672,1382,1373,1461,583,856,87,6,2279,13,179,2013,652,1786,963,1140,46
PA0895,27029,28895,29117,4968,37,5655,4784,1370,2782,3138,2987,11399,3371,841,66,5272,85,2585,3949,3233,8317,4823,5786,243
PA0896,9472,9860,10216,1944,16,2233,2036,939,1586,1938,1818,4754,1557,345,37,2079,26,1001,2019,2144,3363,3393,2375,166
PA0897,6475,6901,7105,1933,17,1879,1671,610,1086,1215,1209,10112,2051,410,57,1671,27,838,1651,2329,3004,3389,2149,128
PA0898,7287,7957,8109,1644,12,1679,1535,624,1107,1238,1176,2614,1134,205,20,1528,22,287,1375,3269,2924,4486,2081,149
PA0899,11822,11952,12749,4056,9,2432,2115,667,1424,1579,1465,2252,1314,195,20,3679,43,308,2191,2746,5190,3796,2187,199
PA0900,617,697,747,438,10,385,362,254,510,387,390,381,374,121,3,356,15,220,718,640,577,782,508,74
PA0901,16063,18160,15552,9176,25,6556,6392,3219,5798,6096,5729,4959,4716,697,47,5289,51,2219,6502,2493,6357,4259,7883,332
PA0902,1220,982,1270,4518,16,2871,2757,1138,2258,2054,2093,8355,3632,392,66,2078,30,1916,3186,2629,3290,3022,2876,148
PA0903,2240,2440,2425,15170,51,10874,9647,6903,15340,12342,12386,15037,14900,1431,97,6410,152,6202,9391,6924,7930,8600,12337,547
PA0904,1967,1949,2041,7196,30,5723,5323,3702,7205,5805,6119,3824,4859,580,32,3822,94,1771,7284,3252,5120,3473,6965,282
PA0905,58268,54107,57530,49484,1018,38014,39734,35856,42547,44165,48668,66338,76242,137924,601,88489,2093,581233,130586,32071,67599,26566,28764,8098
PA0905.1,211,301,245,260,1,192,160,241,446,458,399,143,277,93,1,349,4,270,328,41,501,59,261,5
PA0905.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0905.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0906,2389,2498,2422,1291,9,1276,1115,1131,2298,2351,2262,641,1038,128,5,771,17,1123,1388,1294,1106,1749,1096,96
PA0907,1365,1572,1513,1226,5,1116,896,848,2316,2786,3012,2258,3013,162,14,1159,6,2687,1441,993,1127,1261,1550,49
PA0908,570,588,535,155,4,656,479,420,1444,2026,1956,124,160,38,1,539,2,325,290,673,191,801,210,31
PA0909,193,215,179,137,1,206,176,188,621,758,718,54,70,17,0,113,1,99,108,435,95,509,123,14
PA0910,581,732,554,334,5,910,728,830,2652,3060,3341,234,214,45,2,234,1,414,283,759,187,1043,504,38
PA0911,446,483,413,203,5,502,396,530,1572,1879,2079,78,88,18,1,179,4,252,157,771,112,772,339,40
PA0912,139,199,129,81,7,217,212,338,533,670,796,92,54,36,2,70,6,165,66,957,55,965,159,41
PA0913,4104,4145,4148,9013,25,3160,2768,2445,4280,4435,4608,2814,6740,748,19,4822,48,5909,6714,3003,3817,3622,4143,251
PA0914,568,553,594,472,2,194,172,223,538,511,460,113,886,17,1,342,1,195,613,690,171,663,239,34
PA0915,326,300,323,191,4,84,99,143,317,210,209,65,341,23,0,133,4,103,262,698,64,726,146,38
PA0916,1879,1985,2038,3142,7,997,1002,1188,2690,1772,1793,905,4387,187,10,1273,18,826,2081,2366,966,2494,1306,125
PA0917,6795,7706,8317,3381,17,4116,3561,1547,3634,2649,2589,4468,2982,327,33,3000,31,1104,3794,3589,3986,4501,3730,207
PA0918,456,484,487,332,5,258,215,163,327,205,251,442,312,38,1,339,7,184,1321,876,225,959,552,54
PA0919,5929,5827,6291,9551,21,2718,2425,1060,2212,1759,1817,1421,1208,311,8,2567,44,882,3433,2524,2964,3822,6499,236
PA0920,2189,2062,2027,19524,22,2091,1949,1003,2256,1764,1707,984,798,222,13,2407,26,504,2709,4487,2063,6692,8758,297
PA0921,200,209,215,2156,3,489,435,450,991,834,773,218,180,42,2,170,6,292,198,535,158,664,808,28
PA0922,501,418,515,1659,7,2153,1972,1963,4617,4017,4401,3655,3148,123,17,847,10,4310,1639,489,577,697,1056,47
PA0922.1,11,17,16,18,0,35,25,21,17,14,14,7,17,5,0,12,0,25,29,9,34,12,5,0
PA0923,2435,2462,2404,4286,20,4333,4288,2419,5101,5070,5539,1045,3558,386,12,2255,17,3410,2670,1794,1994,2900,3374,158
PA0924,1338,1315,1405,1888,18,2732,2751,1841,4253,3601,3134,686,1214,270,11,1874,21,1126,1961,2908,1660,4129,1147,131
PA0925,759,851,834,650,7,427,373,234,518,363,360,3815,1464,147,18,413,15,1093,633,574,468,846,678,35
PA0926,1077,1088,1197,632,7,817,753,406,790,714,659,418,1275,106,3,616,7,392,1103,755,710,1056,907,70
PA0927,2244,2379,2463,1126,11,1300,1189,573,1195,1025,1021,855,501,141,11,965,16,296,1163,1680,1159,2848,1448,96
PA0928,8887,9028,9489,5118,34,7050,6527,2943,6945,5510,5485,5209,3105,493,35,5474,72,1659,6060,4602,5982,7751,6670,347
PA0929,6188,4359,5469,9527,46,15598,15397,3179,6764,8583,8885,4339,8208,1624,30,2942,39,7385,2382,1874,7565,2910,9676,313
PA0930,2196,1767,2039,8953,47,11537,11735,3072,6124,7098,7511,1779,6082,1006,19,3125,55,1876,2918,2689,5531,3445,6566,250
PA0931,2040,1954,2246,3662,33,4087,3843,997,2151,2201,2319,1582,2385,517,7,1306,45,891,1347,3348,2073,4247,1971,163
PA0932,1070,892,1101,4057,30,4149,3614,2341,5507,4149,4040,4306,3433,617,15,3066,53,1830,4028,1724,3307,2151,4218,186
PA0933,4848,4974,5716,4505,14,5415,4919,2579,5763,4992,5078,1722,2818,359,24,3780,41,809,5028,2376,4596,2993,5333,182
PA0934,12584,14764,14095,13079,60,15927,13764,5204,13217,9854,9508,7117,6630,1012,49,9415,171,2546,12849,4086,11100,6723,15918,568
PA0935,1277,1178,1140,1322,30,2482,2270,1058,1726,1525,1444,2553,1313,509,12,1329,42,950,1718,1291,1544,2880,1721,156
PA0936,2397,2308,2530,4082,20,4343,4205,1855,5434,4806,4668,3503,9529,1140,29,3384,33,5315,5095,1283,3196,1512,6904,179
PA0937,4451,3959,4743,3892,33,4122,4006,2124,4381,3267,3355,7420,5183,998,46,3197,102,4662,6259,1424,3503,2098,3271,233
PA0938,4417,3565,4373,10895,64,20724,18135,9845,28437,28941,28972,10495,16752,1540,100,14932,224,5901,18835,3929,27670,3164,4445,143
PA0939,266,257,284,868,5,524,554,124,290,238,257,147,273,21,1,414,1,92,1101,237,463,336,155,20
PA0940,7066,7257,6826,3088,10,4748,4282,379,838,577,627,1630,788,111,12,1818,59,465,5360,316,2004,1018,930,41
PA0941,1951,2252,2142,676,6,1542,1408,118,324,241,261,533,330,33,3,496,10,169,1973,172,659,436,322,13
PA0942,2864,2794,3196,3293,15,3403,3337,727,1517,1465,1432,2155,2799,399,18,2899,22,2163,4885,620,3262,1036,4247,147
PA0943,1481,1435,1490,4444,15,2915,2771,1533,3415,2567,2605,9244,6007,1660,52,2401,104,13219,4439,1310,3205,1455,7613,382
PA0944,1765,1589,1723,2781,8,2783,2599,1467,3399,2449,2720,1257,3665,444,12,1992,44,2583,2865,1042,1745,1196,3313,158
PA0945,1498,1509,1461,6630,13,3970,3893,2737,6082,4840,4779,2748,7689,621,27,2542,49,2926,3897,1612,1985,1897,6836,208
PA0946,1594,1586,1619,6449,22,5484,5228,1639,4002,3491,3394,17973,7759,643,79,3006,50,3982,4155,1629,3999,2112,5586,190
PA0947,762,566,709,4191,14,2869,2743,2206,5246,4492,4816,1754,5187,445,12,2175,37,3480,4436,916,2320,1209,4279,129
PA0948,275,230,283,548,1,671,640,334,799,601,600,70,442,75,2,402,3,243,718,362,374,429,746,30
PA0949,1059,1058,1194,1927,5,2049,1956,836,2111,1682,1574,2308,2193,302,21,1313,19,1180,1910,807,1474,945,1965,85
PA0950,1288,1207,1335,2517,8,2341,2402,1208,3456,2777,2951,20949,27407,2189,118,1809,44,16807,3067,526,2550,700,3533,80
PA0951,1990,1982,2071,2408,21,4338,4335,1496,3437,2524,2617,4109,6610,770,21,3036,55,2831,4636,1422,3777,1760,3015,194
PA0952,1789,1421,1841,1360,16,6340,6567,2967,6831,6714,6677,5504,6590,347,44,2793,15,2979,2218,461,4202,510,563,25
PA0953,498,527,532,656,9,911,844,442,1027,961,946,2169,765,132,13,592,10,497,720,517,1145,596,885,59
PA0954,228,315,294,492,4,668,545,300,748,550,546,383,254,69,5,365,13,148,377,310,461,510,670,34
PA0955,850,935,913,3272,18,3556,3308,2041,4747,3895,3863,745,2066,341,10,2024,32,1095,3928,1267,2434,1263,4531,164
PA0956,2494,2285,2645,9431,45,6074,5925,3585,8677,6749,6830,17250,8827,1200,93,4809,120,6412,9205,2512,5307,2806,12534,534
PA0957,1236,1310,1241,826,8,1599,1704,775,1265,1365,1405,3988,2183,319,24,959,14,1670,1323,352,938,621,888,55
PA0958,7913,7478,9406,6488,28,5852,5557,2857,6515,4791,5245,40321,7188,811,235,5156,344,3572,8981,2162,11156,2805,12656,685
PA0959,16952,15930,18006,3114,7,2564,2361,954,2383,1906,2000,16129,3966,460,99,2839,49,2219,3460,665,3609,1197,4485,147
PA0960,3170,3210,4047,436,1,558,504,173,480,366,407,3619,808,118,16,373,10,447,552,146,600,238,552,36
PA0961,50,28,45,568,1,202,195,213,321,478,423,257,1048,191,3,136,6,663,442,116,96,85,387,17
PA0962,1396,1362,1490,6182,64,6690,5870,4086,8281,6263,6737,7789,4850,906,48,5623,238,2450,7113,1932,5997,3068,12320,882
PA0963,1518,1621,1691,15156,49,11787,11352,7208,16756,14979,14844,17835,40460,4570,115,8242,124,31592,12329,2577,6142,3083,17673,496
PA0964,3797,3854,4136,11712,71,13416,12061,6691,13140,10860,11611,2628,5383,1588,34,7015,182,2668,12599,2634,6831,2378,14368,583
PA0965,1347,1445,1410,718,8,1597,1540,795,1710,1314,1273,614,832,246,7,1043,26,463,1306,529,1079,683,1352,81
PA0966,1737,1404,1826,2429,12,3189,2954,1051,2888,2404,2393,1408,1369,224,13,2609,31,669,3494,672,3476,585,2657,95
PA0967,2156,2127,2352,4283,12,4157,3807,2550,4972,4412,4271,1514,2819,443,16,3242,28,1371,5156,1177,3597,1123,7595,361
PA0968,955,857,1071,3809,19,5864,5683,2471,5721,5420,5750,3029,6798,644,20,2557,43,2567,3938,907,3932,515,5530,141
PA0969,1599,1463,1643,6280,26,5563,5431,2630,7074,5173,5523,5127,7124,931,44,2852,56,4527,4287,1427,3644,898,9582,353
PA0970,933,904,905,4134,26,5365,5250,2288,4277,3595,3824,1359,4854,806,15,2355,77,2745,3864,1001,2541,793,6940,403
PA0971,4906,4738,4767,15660,121,15970,15529,7256,13398,11959,12321,4274,10246,2875,43,11998,361,13768,16132,4572,12644,5718,24625,1801
PA0972,6080,6169,6782,11880,50,9920,9279,4790,11492,9206,9006,19115,35589,2043,100,6892,120,16119,9996,2030,8638,2254,17048,639
PA0973,8106,8161,8840,21297,91,26659,24429,14122,30496,23616,24302,24399,19736,2192,136,14435,235,12804,22253,3698,18116,3350,35994,1255
PA0974,4495,4783,4760,9785,31,14016,13345,5071,17008,14603,14555,17798,22182,1399,112,10342,107,8909,13558,1845,12652,1713,19584,493
PA0975,918,797,896,2327,12,3393,3418,1953,3937,3388,3414,1390,18021,1243,9,2870,48,6387,4506,936,2160,504,1148,76
PA0976,4605,4415,4700,2574,8,3833,3527,1369,3190,2389,2334,4578,12371,856,21,3068,50,3223,4992,1013,4469,890,965,72
PA0976.1,3,1,6,10,0,21,8,37,76,48,55,3,32,5,0,16,0,32,15,7,15,1,11,1
PA0977,118,80,98,518,5,633,575,1092,2015,1878,2158,111,5038,238,4,652,2,2037,838,176,361,70,1,0
PA0978,153,133,163,194,2,136,110,64,103,89,91,86,371,44,0,227,8,126,165,154,188,109,553,31
PA0979,728,730,800,373,7,608,517,173,368,345,339,455,502,81,7,633,3,362,647,125,750,192,1008,78
PA0980,170,140,178,76,3,121,141,77,120,96,112,597,970,195,4,54,12,748,148,101,174,81,0,0
PA0981,705,541,683,625,4,641,644,408,875,555,573,711,1228,294,9,397,38,892,1202,191,803,258,0,0
PA0982,6340,5688,6732,1325,15,2978,2719,651,1510,1465,1292,3452,1660,283,29,2307,31,805,2043,371,3568,923,0,1
PA0983,3246,2764,3781,523,5,718,731,231,399,349,350,1541,600,232,12,833,36,719,1068,225,956,341,0,0
PA0984,2468,1691,2128,1619,10,3036,2573,367,966,873,996,2261,1057,277,17,708,23,1350,1358,539,6941,270,0,1
PA0985,1177,865,1103,1813,49,5275,4338,1258,2933,2852,2737,1038,1287,486,13,657,119,1154,1505,1120,8002,635,1,1
PA0986,52,37,55,140,3,132,127,51,85,73,80,101,102,37,1,52,6,124,88,71,99,90,0,0
PA0987,533,476,552,493,8,496,464,179,291,360,333,570,472,132,4,449,9,336,576,352,649,389,0,0
PA0988,1926,1541,1846,1949,13,3599,3628,1124,2503,2333,2192,3133,2379,339,17,1946,29,1492,2682,478,3299,753,1948,80
PA0989,235,212,239,268,2,366,362,186,304,271,281,289,194,49,2,254,4,103,343,251,336,214,340,40
PA0990,274,238,315,464,7,280,238,104,236,230,199,283,221,82,1,386,9,146,364,319,449,250,1066,113
PA0991,292,243,282,382,2,268,254,198,434,293,283,1502,1031,117,4,215,8,790,474,139,428,159,390,38
PA0992,5178,4979,5318,2143,12,3782,3718,709,1497,1234,1240,2544,2222,303,13,2820,20,1165,3438,421,2848,889,1177,71
PA0993,167,168,195,130,4,70,113,56,61,74,73,160,123,74,0,59,7,98,103,156,109,251,1305,69
PA0994,3703,3457,3802,2515,29,3246,2875,1120,2201,1888,1757,1933,1879,513,14,2083,38,958,2959,1390,2821,1903,2791,295
PA0995,2898,2588,2777,2285,3,2824,2457,1053,2441,2578,2265,1935,2294,275,17,3015,31,1188,4229,594,2457,888,2201,89
PA0996,4876,5112,4658,25408,36,11978,7916,7610,19699,15234,15644,83500,8423,603,445,5414,132,8078,11508,2056,18070,7750,34831,461
PA0997,2725,3022,2764,12554,24,5842,3873,3290,8373,5844,6193,10069,1903,270,67,2869,123,1057,6579,1549,9217,5226,22553,449
PA0998,2119,2410,2063,5836,15,4487,2871,1665,5034,3676,3847,2509,1049,129,22,1802,50,391,3953,1137,6521,2690,13110,183
PA0999,6137,6531,5831,10840,17,10784,7042,5661,13903,10654,10187,10426,6847,359,59,3712,93,1832,8642,1689,14564,6394,29872,478
PA1000,10723,11727,9327,11271,21,13275,9206,8058,19996,18527,16976,9310,5984,384,77,5991,95,2313,10310,1671,19291,7277,32428,375
PA1001,3483,3561,3364,12100,24,10704,7107,6981,17372,12791,12742,4036,5431,601,39,4060,146,2477,8371,2403,21544,9543,32833,667
PA1002,4469,4501,5278,7362,21,6705,4795,2322,6053,4087,4183,968,1373,232,15,3473,84,624,4727,1061,9219,4034,12319,246
PA1003,3247,3384,3879,4175,15,3772,3022,905,2319,1691,1619,1213,1160,239,10,2105,48,486,3327,1204,5195,2411,7741,277
PA1004,7626,7345,7818,7275,29,7469,6831,3433,6883,5501,5768,11103,16356,2224,53,7317,69,6528,7807,1855,5245,3035,7090,280
PA1005,1526,1260,1678,4666,24,3821,3383,1570,3656,2731,2742,2201,3429,460,21,2483,40,1157,4216,1867,3630,2902,3646,176
PA1006,103,121,108,307,4,295,274,143,336,265,269,817,381,51,2,297,2,151,570,232,337,297,314,19
PA1007,529,492,547,1308,8,1626,1498,695,1887,1316,1331,555,1220,160,4,1139,13,428,1685,1094,1166,1324,1350,81
PA1008,468,414,457,1935,7,1589,1464,1054,2533,2181,2150,1508,1894,278,13,848,26,678,1850,661,1520,903,2015,110
PA1009,536,414,499,1359,13,723,691,597,1298,943,893,1991,1256,325,14,417,28,971,853,874,891,1020,1146,89
PA1010,2091,1589,2235,10951,41,6981,7098,4217,9484,7804,7605,32199,20471,3092,207,6431,159,11276,15061,2818,9209,3150,10346,414
PA1011,1160,1158,1185,10066,41,12731,11277,6259,10620,9626,9150,7481,8115,1494,48,6532,136,2749,11524,3219,8276,3919,13497,481
PA1012,1718,1429,1909,3821,12,6637,5942,2207,4909,4600,4575,935,2178,413,6,3490,57,508,5486,1556,4361,1769,5216,220
PA1013,1683,1677,1633,4921,33,6980,6732,3835,7418,7259,7202,1279,3264,549,15,4885,48,1188,7228,1593,4242,1767,6299,246
PA1013.1,82,109,102,93,0,173,161,65,209,201,229,55,110,11,0,207,0,55,191,37,250,28,108,0
PA1014,967,912,997,2515,23,2034,1924,962,2169,1570,1468,26487,5068,555,139,1564,37,4600,2361,1492,2014,2004,222,78
PA1015,1094,1210,1281,2120,7,1340,1263,636,1674,1288,1323,838,1727,112,10,1748,12,380,1591,1187,1175,1769,936,74
PA1016,1087,1122,1064,1032,10,934,884,494,903,602,606,507,774,133,7,785,5,245,982,1843,673,2969,730,112
PA1017,1087,1171,1090,1373,21,1896,1757,863,1502,1217,1187,630,971,198,7,1074,15,490,1352,3798,1039,6255,874,189
PA1018,687,572,692,495,12,438,447,204,370,294,259,227,363,74,1,360,4,140,430,1574,387,2390,249,60
PA1019,517,514,487,418,13,416,361,351,464,281,347,292,430,97,6,356,15,165,451,2612,451,3987,317,133
PA1020,700,708,716,778,11,747,710,276,571,417,447,472,301,52,5,513,9,184,561,1783,596,3252,217,80
PA1021,444,466,418,262,8,388,414,185,250,217,234,272,182,61,0,273,2,68,298,1371,310,2048,124,46
PA1022,713,712,767,574,9,545,546,281,374,271,315,306,248,103,1,493,8,120,583,2058,486,2931,204,89
PA1023,407,484,455,334,13,432,370,218,282,185,210,119,178,60,0,279,7,87,367,1627,318,2306,249,74
PA1024,879,884,866,721,12,1092,968,308,486,373,409,136,249,66,4,577,8,101,668,2249,669,3055,418,97
PA1025,481,503,564,340,12,389,387,194,261,223,223,133,198,67,1,297,13,121,337,2089,322,3426,301,119
PA1026,124,90,120,515,2,307,287,195,317,241,260,139,317,56,3,293,8,160,435,963,242,1305,391,33
PA1027,1708,1831,1808,1061,19,1662,1538,476,848,671,731,6875,1190,150,38,1089,14,590,967,3296,1298,5023,1224,139
PA1028,2035,2189,2102,1016,16,1625,1401,520,861,850,786,1126,1010,175,15,1049,17,442,1271,2673,1227,3711,860,109
PA1029,498,502,522,1367,2,761,652,253,572,402,382,336,614,66,4,1469,2,940,980,457,1163,652,1150,39
PA1030,2609,2693,2666,2127,8,1882,1740,821,1567,1438,1553,1625,1779,306,12,1907,13,1298,1970,1668,1824,1892,2347,147
PA1030.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,5,1,10,1,0
PA1031,2685,2668,2952,4391,28,5113,4624,2248,4898,3337,3527,2962,3958,643,20,2730,48,2296,4035,3116,3098,3997,4905,276
PA1032,5649,6061,6004,7366,40,6412,5998,2262,4936,4039,3924,5500,4335,700,40,4632,48,2228,5070,6230,4393,7374,6827,375
PA1033,923,874,889,595,12,673,568,250,537,383,419,1250,504,107,3,767,9,471,876,1280,770,1520,699,80
PA1034,2302,1836,2192,1052,19,2417,2239,1865,2792,2282,2508,3439,2215,965,13,2351,67,3928,5515,952,2659,786,807,60
PA1035,2331,2239,2423,4117,15,4400,4165,2001,4406,4880,4827,15037,8633,1194,78,1606,47,13923,1955,1098,3011,2084,2520,152
PA1036,3573,3728,3507,3209,15,4077,3920,1488,3893,2707,2798,9178,4164,389,46,1773,21,2654,2284,1493,2361,2633,3760,210
PA1037,2814,2768,2934,1627,18,2520,2415,909,2150,1652,1600,1306,2075,304,13,1418,22,1102,1654,1290,1302,2189,2321,135
PA1038,820,906,897,529,5,593,611,209,457,387,381,237,270,57,2,394,6,135,427,441,411,903,605,37
PA1039,1178,1189,1148,1283,7,829,859,368,845,767,734,749,618,112,7,645,11,388,935,1002,795,1567,1483,59
PA1040,1971,2086,2030,1186,11,1056,1052,450,988,845,847,1208,1203,177,5,1716,17,1080,1505,1112,1628,1738,1481,78
PA1041,141268,154223,179810,5968,47,13419,11230,2613,6881,4864,5635,279480,19553,2917,1486,8965,347,13766,13132,2369,17425,14624,10142,555
PA1042,157,176,244,146,5,198,185,98,255,159,165,1547,342,41,7,171,3,159,250,512,210,780,313,23
PA1043,1463,1473,1437,1948,14,1783,1597,793,1683,1326,1392,3600,1166,164,22,1264,22,575,1340,2065,1315,3016,2397,104
PA1044,420,402,443,593,1,594,575,306,598,454,439,771,526,54,3,339,4,290,471,988,348,1273,610,34
PA1045,1091,1131,1152,4315,31,4507,4180,3218,7220,5361,5646,3563,4376,508,24,3168,48,2315,4718,5823,2863,7658,5258,297
PA1046,7584,7392,7944,3633,33,4500,4119,2304,4909,4281,4429,2063,1941,296,15,3797,33,939,4240,6206,3706,9058,4360,246
PA1047,2011,1591,1876,5401,30,3993,3741,2541,5048,4349,4271,24864,7286,791,131,2540,92,4811,5113,3705,4617,5265,5638,306
PA1048,14592,13878,17140,12030,27,10613,10104,4112,10111,8417,8982,17872,21915,1203,118,13080,238,9227,21084,4626,15896,4772,7679,275
PA1049,2398,2140,2697,5532,9,2320,2116,1980,4050,2725,2751,3181,4330,328,20,2753,45,983,3883,2083,2590,2948,4888,189
PA1050,2983,3030,3276,6701,23,3932,3886,3309,7192,4859,4965,2461,3858,349,23,3885,37,842,4397,3078,3632,4785,6599,307
PA1051,545,559,541,1065,17,865,998,599,1129,693,789,269,2157,281,6,2500,15,277,1545,3344,803,4258,1108,141
PA1052,2299,2417,2360,3857,11,3089,3368,1788,3941,3082,3163,2583,5630,412,17,5437,20,1651,4044,3385,2932,4190,4238,191
PA1053,40358,36568,38730,166066,89,24240,22434,12331,25202,18781,21852,36776,25494,4747,274,23265,208,28254,30718,3828,16707,5324,34120,789
PA1054,8513,9232,9057,7152,41,6539,6788,2908,6797,6700,6594,4574,6987,948,40,5444,41,4076,6095,7215,4256,8824,8558,312
PA1055,875,943,893,559,3,584,571,204,548,454,413,206,206,43,2,419,1,59,553,741,334,970,472,22
PA1056,5575,5468,5701,3735,19,4770,4644,1704,4044,3928,3955,2036,2633,369,19,3108,20,644,3799,4258,3171,5260,4775,189
PA1057,1181,1146,1141,760,4,718,643,285,741,581,612,685,691,91,6,472,7,132,653,1166,539,1374,1066,52
PA1058,385,360,414,240,2,245,229,90,273,202,174,118,154,28,0,140,2,27,220,569,169,615,365,27
PA1059,719,686,881,316,4,407,401,122,275,280,273,114,140,55,0,201,5,40,449,722,292,683,490,26
PA1060,4697,4025,4788,2926,15,4478,4720,883,2060,1935,1988,2415,1764,349,19,4265,17,1043,2416,2466,5162,2153,2246,108
PA1061,713,755,780,1420,17,2192,2146,605,1414,1052,1103,425,594,219,1,1414,8,214,790,2888,1588,2621,1860,103
PA1062,531,557,602,933,3,1721,1657,400,934,671,733,182,335,102,3,1051,7,108,627,1373,844,1207,1027,60
PA1063,420,417,447,698,2,1303,1171,287,629,489,529,205,299,37,1,560,10,86,523,477,574,538,706,32
PA1064,591,605,654,1968,6,1714,1669,621,1357,1057,1059,1893,1006,220,18,960,11,437,1233,1632,1120,1772,1543,96
PA1065,1101,1141,1294,1011,5,669,632,247,465,326,332,1471,551,93,12,1159,6,272,1072,969,1026,1328,1016,66
PA1066,1850,2014,1971,1292,5,1347,1263,331,737,516,528,3695,1887,187,18,2502,9,717,2842,1401,1309,1847,1015,59
PA1067,217,230,234,395,9,340,312,157,265,216,204,229,230,51,0,246,6,115,329,2083,306,2535,457,43
PA1068,2139,1868,2135,3220,30,5331,5007,1955,3567,3215,2921,3032,2799,432,18,2784,29,1587,3669,5076,3079,6086,6860,371
PA1069,2191,2337,2231,2740,35,3919,3635,2118,4327,3404,3315,3939,2664,397,25,2070,69,1400,2992,5682,2502,6803,7854,467
PA1070,1121,1157,1278,716,6,1031,894,383,822,681,674,701,879,139,6,830,7,356,1117,1393,917,1672,469,61
PA1071,831,1093,1032,613,12,944,779,364,696,569,608,412,528,125,3,545,11,149,630,1836,760,1663,541,82
PA1072,835,858,930,610,15,737,658,397,763,631,611,652,877,131,3,494,9,209,727,2935,720,2708,629,95
PA1073,2190,2187,2380,683,9,787,741,303,556,464,501,505,781,118,6,983,14,288,952,2141,899,2112,438,93
PA1074,14307,15096,15000,5752,41,7349,6642,2902,5348,4829,4804,39757,10057,1692,232,4649,139,8193,7991,3124,6445,7210,6370,427
PA1075,2571,2446,2650,1256,5,1841,1717,964,2205,1857,2047,4176,2959,216,31,1849,8,1929,2051,827,1710,711,1416,56
PA1076,1704,1610,2041,2885,5,1980,1863,3439,5333,3482,3802,7089,7511,324,51,2110,26,1665,3108,834,2548,866,7436,362
PA1077,757,758,992,630,59,9111,6903,799,1606,1152,1238,24786,2685,222,118,605,72,951,1164,1181,923,1770,175,39
PA1078,413,438,582,464,19,4680,3582,416,1121,660,708,3125,695,119,26,382,20,313,703,1020,520,1147,116,30
PA1079,2623,2636,2990,3122,100,24015,18291,2061,4853,3228,3228,6680,2189,395,44,3729,78,1053,4185,1810,2778,3984,1254,85
PA1080,2811,2813,3571,5995,265,82505,57201,3141,7271,4671,5289,69880,13763,1080,341,4806,266,5600,8120,4703,4124,6735,1787,195
PA1081,1234,1172,1696,1773,43,23646,18312,1614,4112,2743,3038,33146,2942,211,173,1142,48,1162,2006,1977,1731,2577,324,64
PA1082,2385,2041,2765,3818,82,24205,18342,1966,4154,2616,3109,67011,4502,432,362,1425,63,3441,2969,2156,1690,3455,1025,83
PA1083,1826,2152,2144,2674,39,11251,8626,812,2087,1642,1660,7769,1705,286,45,2045,51,875,2393,2026,2225,2443,2724,102
PA1084,2890,2861,3524,3940,52,46958,32714,1925,4504,3887,3859,24530,4006,330,136,2219,52,1844,3988,3194,2325,4618,1412,154
PA1085,4830,4822,4730,8212,99,50765,34460,3836,7376,8196,7041,6782,3163,377,49,3612,78,1112,5820,3554,3886,6495,2015,137
PA1086,6794,7030,8014,7441,124,58459,42364,3799,8480,5709,5820,4435,2543,435,38,4761,142,892,7432,5510,4860,9221,1661,164
PA1087,4301,4399,4839,9281,39,23052,16891,1288,2991,2021,2131,17252,3472,386,105,5511,65,1873,8477,3389,4871,4073,547,40
PA1088,3382,3336,3887,2723,42,22548,15790,858,2229,1643,1603,1493,849,102,18,1870,37,335,3266,1649,2817,2158,0,1
PA1089,1462,1360,1698,1138,15,7455,5371,420,1354,870,909,710,462,45,8,622,17,80,1317,1193,1121,1257,0,1
PA1090,784,759,871,649,5,4421,3102,350,833,619,624,149,246,44,0,417,15,64,726,1289,672,1527,0,0
PA1091,5928,5812,6398,9082,99,47966,33159,3793,9751,6967,6984,977,2463,400,24,6835,126,702,10353,11664,8131,14249,790,33
PA1092,71435,70812,68050,349083,145,27371,26395,5966,14078,11684,14246,137432,111781,17581,964,101295,847,147016,235709,25515,85903,9280,1789,68
PA1093,5908,6486,6219,5829,4,1607,1411,297,758,640,741,1276,1938,185,8,3662,15,1469,3826,1015,4010,764,26,2
PA1094,47735,47639,45222,61111,111,30838,28164,4549,9869,7978,8752,120892,36792,4586,670,29187,241,19526,49376,6516,25475,7950,4,2
PA1095,9314,8263,9250,10217,12,3112,2885,524,1395,1159,1086,7416,3885,328,54,6279,23,3256,10857,1061,6005,903,69,7
PA1096,5855,4884,6329,13013,9,2713,2463,473,1126,909,977,5292,4185,304,33,6646,31,3027,11720,1083,6563,681,1,0
PA1097,11102,12701,12695,20156,32,8344,8072,4854,11695,7709,7583,37490,38586,3714,228,7922,199,12755,15938,3913,8085,8972,12868,459
