Name,ctrl_1,ctrl_2,ctrl_3,ctrl_4,sp1A,sp1B1,sp1B2,sp2A1,sp2A2,sp2B1,sp2B2,sp3A,sp4A1,sp4A2,sp4B,sp4C1,sp4C2,sp4D,sp5A,sp5B,sp5C,sp6A,clin1,clin2
PA0098,860,848,848,311,7,1320,1226,299,624,726,612,171,283,51,1,338,6,122,294,1990,700,5170,180,17
PA0099,1189,1322,1216,446,28,2095,1852,639,1257,1134,1034,264,449,105,5,432,20,219,580,1960,1062,5037,131,34
PA0100,3385,3564,3642,1749,21,3722,3395,911,1933,1698,1545,999,767,142,6,1537,34,609,1287,1636,2303,4644,0,1
PA0101,4562,4566,4739,2459,23,5051,4798,1358,2816,2786,2802,1610,1744,279,16,2285,22,1296,2219,2540,2939,6386,3095,166
PA0102,2694,2730,2742,6833,20,5640,5408,2076,4572,2923,3220,2365,2884,578,26,5178,57,2457,7323,1767,7369,3495,19845,521
PA0103,751,853,913,1276,22,1221,1177,431,831,646,660,396,733,148,3,1179,16,264,1275,3264,1056,6992,9895,283
PA0104,649,586,610,502,9,624,552,283,555,376,405,1077,413,97,7,551,20,165,733,1083,729,2123,2801,131
PA0105,70934,68763,80444,11215,33,11810,11635,2497,5367,5385,5610,35044,6369,989,205,24930,164,2540,13737,3052,22386,9071,12341,639
PA0106,26345,32941,32464,2178,27,3406,3269,1221,2232,2207,2155,4356,1890,406,44,4067,58,729,3925,2898,2936,6418,5369,430
PA0107,8075,8916,9632,425,7,633,515,289,444,416,461,2139,641,79,7,745,18,121,920,889,672,1760,1018,108
PA0108,26611,27379,29717,2929,7,2711,2520,724,1636,1371,1370,6908,2335,404,53,5159,63,831,4094,1741,4680,4201,4347,298
PA0109,17206,17003,20065,935,10,1952,1837,531,1093,1136,1142,2114,946,84,13,4873,26,207,2303,466,3478,1273,1526,108
PA0110,26275,25109,30786,2659,7,1778,1716,651,1291,1612,1691,1969,1900,111,26,6967,22,195,3605,1472,5613,3650,2808,138
PA0111,5822,5697,7610,877,7,641,573,289,481,457,463,104,500,47,6,2087,6,54,1132,1048,1553,2682,1499,97
PA0112,5173,5453,6646,763,7,697,697,269,480,451,453,216,435,82,4,1962,8,118,1080,1918,1482,4936,1134,129
PA0113,5391,5734,6945,839,10,977,950,375,613,543,545,862,621,95,10,1439,8,210,1464,1549,1205,3849,1598,162
PA0114,2143,1965,2434,842,15,1149,954,458,1160,805,714,646,826,129,7,757,20,265,1504,1171,1719,2040,760,115
PA0115,524,366,580,908,7,903,767,347,703,465,455,610,317,56,3,557,14,137,699,799,808,1414,444,59
PA0116,1327,1418,1558,1414,11,1430,1291,538,1148,739,756,2479,621,130,10,997,22,564,1031,877,1356,1980,1158,74
PA0117,397,434,426,482,4,566,520,361,593,441,484,4003,1110,134,14,411,12,1116,734,1204,671,2677,701,85
PA0118,192,197,183,152,5,222,218,134,187,154,135,198,216,69,1,148,11,97,326,765,216,1694,224,72
PA0119,1461,1414,1465,1973,25,2070,2030,1045,1477,1019,1085,612,900,218,2,1577,18,928,2109,2340,1491,5778,2323,307
PA0120,1612,1696,1793,1608,11,1995,2182,1338,1801,1342,1401,1347,996,145,9,1055,11,662,1189,1124,1262,3342,3232,310
PA0121,1657,1601,1622,1717,6,1450,1589,750,1082,791,863,2220,1317,225,21,1073,8,894,1710,1177,988,3210,2171,157
PA0122,45256,44717,47105,4028,68,13254,10339,4536,11565,9294,9223,24429,5054,701,164,19091,382,2132,9325,3022,30340,14661,3031,271
PA0123,4379,4348,4689,4258,16,2590,2749,1063,2417,2093,2175,4924,6680,861,29,4589,22,2391,3345,1575,4080,3949,2417,129
PA0124,1611,1570,1786,1332,1,587,612,201,389,337,299,2281,2580,427,10,984,7,2312,1388,370,575,907,847,46
PA0125,1413,1491,1544,1321,4,530,559,263,475,306,397,2728,3225,721,13,1414,7,5466,1558,369,463,794,753,88
PA0126,234,289,319,194,5,186,195,143,247,167,138,172,246,56,0,205,2,189,284,1150,213,2268,530,77
PA0127,394,394,436,758,4,554,471,296,518,426,393,1627,519,88,5,522,14,373,693,875,542,1638,783,60
PA0128,1081,572,1028,1093,5,554,517,923,1891,1330,1288,3289,2623,168,22,1507,19,1051,5797,589,837,963,696,46
PA0129,2646,2807,2616,2007,20,2745,2826,1357,2338,1841,1897,757,1855,255,11,3009,27,1063,2753,2612,2161,5814,1661,221
PA0130,2098,2442,2330,2126,18,10196,9982,1951,4749,4079,4029,2400,2599,649,23,1991,19,1633,2350,2421,5537,6825,2945,290
PA0131,1109,1050,974,556,9,4515,4369,837,1427,1553,1367,454,730,168,3,941,7,430,1082,528,1694,1230,703,56
PA0132,572,725,665,851,17,7728,7485,1390,3365,3157,2809,564,893,420,7,783,14,1716,954,2150,4218,6404,1324,217
PA0133,1574,1599,1565,1748,16,1215,1296,450,821,661,632,569,591,147,4,1063,21,524,1197,1406,955,3791,2731,151
PA0134,2931,3145,3007,5022,15,2185,2081,898,1644,1361,1343,965,1173,281,12,2449,20,1163,2825,2333,2075,6512,5906,362
PA0135,15,18,12,16,1,23,15,11,10,8,13,6,2,1,0,15,2,8,10,112,15,324,29,9
PA0136,1411,1495,1445,1163,22,1372,1359,476,779,660,647,632,792,124,8,977,14,373,872,2495,971,7917,603,155
PA0137,549,558,525,456,5,462,471,260,324,266,254,248,520,96,5,372,8,189,412,1706,318,5657,461,159
PA0138,823,730,869,853,11,1055,1068,461,804,623,615,538,790,159,5,765,18,210,877,1468,793,4490,965,131
PA0139,1679,1548,1742,3689,52,8606,7179,5770,10027,7418,8266,5469,3764,737,41,3397,123,2831,6368,2194,4910,3665,16077,844
PA0140,1707,1747,1690,8288,22,2989,3434,3601,7525,5906,6787,967,5360,401,26,5102,31,1179,4241,2839,3293,7899,15683,710
PA0141,773,823,774,19629,26,1549,1851,4662,9450,6028,7182,192,2649,250,27,7085,74,289,5158,2064,3701,6612,9843,860
PA0142,832,824,900,1504,13,2389,2376,979,1693,1452,1396,880,2995,538,7,1604,19,1377,2610,2677,1572,7261,1084,158
PA0143,3102,3045,3383,6527,20,5889,4782,1277,3307,2343,2449,8317,2073,253,41,3213,61,438,4453,2200,4649,6518,7359,213
PA0144,3940,3756,4213,4469,24,5394,4217,999,2818,2199,2324,12786,1251,128,78,2883,40,286,3155,1422,4043,4301,5026,153
PA0145,1180,1020,1265,1263,7,1239,1245,458,926,762,728,1154,589,99,10,1097,10,294,1264,973,988,2831,1511,64
PA0146,428,435,485,417,11,530,495,241,312,244,238,280,326,81,1,318,6,138,480,1892,299,5741,506,152
PA0147,1240,1366,1362,1171,15,1140,1113,478,783,578,582,1978,688,166,21,926,14,420,1161,1688,924,4382,1159,113
PA0148,1163,1159,1169,1401,12,1181,1139,669,1264,842,792,1183,690,181,6,884,19,425,1314,1561,896,4556,1791,151
PA0149,1083,930,1080,10198,62,23737,30588,5164,9219,14869,17695,1922,57536,6117,15,3176,61,25608,3387,1719,6089,3154,9391,234
PA0150,658,597,624,8151,27,12862,14585,2296,4984,6371,7353,1428,15525,1893,23,2414,51,4864,2688,2178,3691,5293,5426,192
