Locus,Name,LocusName,MedianSputumEffect,MedianSputumP,sp1.Est,sp2.Est,sp3.Est,sp4.Est,sp5.Est,sp6.Est,sp1.FDR,sp2.FDR,sp3.FDR,sp4.FDR,sp5.FDR,sp6.FDR,sp1.P,sp2.P,sp3.P,sp4.P,sp5.P,sp6.P
PA3288,,PA3288,0.66915349,0.030844936,0.506884483,0.648555467,2.719631729,1.012191627,0.689751513,-0.173204128,0.253070138,0.055645254,5.81E-10,0.004493787,0.063649344,0.780370256,0.149049764,0.031328532,2.24E-11,0.001581264,0.03036134,0.702031929
PA4939,,PA4939,0.668719793,0.114176579,0.582164824,1.250431097,0.755274763,1.580262793,0.494841084,-0.620452561,0.220112295,0.000478222,0.191342413,3.25E-05,0.234019308,0.311045135,0.124078745,0.000159211,0.104274413,6.41E-06,0.149003518,0.216825426
PA3751,purT,purT,0.66818952,0.170300444,0.146289981,0.702610226,0.906525034,1.437430447,0.294929459,0.633768815,0.831349892,0.105333553,0.176633826,0.001433999,0.571603343,0.346243375,0.743214933,0.065087041,0.093648787,0.000433874,0.462091386,0.246952102
PA1710,exsC,exsC,0.666994287,0.148456631,0.717771566,0.866102173,1.38465648,0.580822067,0.616217008,-0.513370472,0.237601252,0.065816885,0.043462148,0.27461389,0.248156119,0.529285623,0.136992365,0.037965115,0.016643455,0.185308952,0.159920897,0.420418871
PA4133,,PA4133,0.666103429,0.242267786,-0.660949224,2.908313831,-0.46957704,-0.080994195,2.353202155,1.413201053,0.516370802,8.43E-05,0.729394123,0.938932766,0.002667056,0.173124933,0.379439198,2.37E-05,0.624810936,0.90235097,0.000680572,0.105096375
PA5333,,PA5333,0.665262434,0.076027276,0.65350704,0.677017828,1.120302956,1.380965867,0.287698967,-0.768752415,0.189112638,0.082900675,0.052389976,0.000663166,0.53864245,0.234141961,0.102820455,0.049234097,0.020779457,0.000181562,0.427696093,0.152473794
PA0078,tssL1,tssL1,0.665044263,0.003242058,1.703746067,0.883415741,-3.274382242,-1.356588832,0.446672785,1.810847543,0.003106418,0.076113503,0.000343437,0.009902067,0.444247684,0.008666765,0.000811768,0.044682286,5.61E-05,0.003896863,0.332912884,0.002587253
PA2652,,PA2652,0.664856541,0.040549904,-0.226075077,-0.724356978,2.799777191,1.108269922,0.651368581,0.678344502,0.679898376,0.042480393,4.10E-09,0.003972449,0.107836469,0.226197279,0.557115745,0.023036928,1.88E-10,0.001376902,0.058062879,0.145968304
PA2596,,PA2596,0.664279995,0.09738829,0.385946915,0.539545074,-0.15977836,0.789014916,0.95241364,1.984453699,0.514397927,0.212172857,0.854624959,0.086684451,0.038581053,0.000712651,0.377176999,0.148163531,0.777089898,0.04661305,0.01641963,0.000100682
PA5445,,PA5445,0.664090566,0.052977993,1.543733188,0.959432501,-1.77732832,0.48634546,0.841835673,-0.150410576,0.009034446,0.057025176,0.043388723,0.401652135,0.131656577,0.875853762,0.002786541,0.032225529,0.016600108,0.299371116,0.073730456,0.821576439
PA4857,tspR,tspR,0.663550795,0.049347418,-0.512367658,-0.792725611,3.05528974,0.807708787,0.519392802,1.179289269,0.413352361,0.073608148,1.81E-07,0.100667962,0.31788464,0.070288845,0.281907334,0.042972346,1.23E-08,0.055722491,0.216516372,0.034552308
PA0028,,PA0028,0.661992564,0.181216135,1.845299892,0.811398946,-0.405623232,-0.569221312,0.661303782,0.662681347,0.001140877,0.100934869,0.657847256,0.308172542,0.233211628,0.389678703,0.000252082,0.061875307,0.539579838,0.214065799,0.148366471,0.286275017
PA5506,,PA5506,0.661902032,0.031476355,1.167974004,0.253302241,-2.204809863,-0.330010985,1.070501822,1.88448387,0.071283509,0.66824588,0.020254612,0.610036219,0.065766344,0.010438156,0.031413284,0.584861742,0.006597501,0.504901862,0.031539426,0.003290089
PA3652,uppS,uppS,0.660699582,0.089775038,0.888401283,1.506369128,-0.337119972,0.92404685,0.43299788,-0.58809909,0.02790983,4.39E-06,0.580801552,0.009137671,0.258930692,0.293246732,0.010413531,9.38E-07,0.457873038,0.003553717,0.169136545,0.201690759
PA4589,,PA4589,0.660636991,0.365683693,1.036395349,0.026533376,0.284878633,-0.023579734,1.287216447,1.649797763,0.114034058,0.977413141,0.776047471,0.980789381,0.025101629,0.025738119,0.055015729,0.953912685,0.676351657,0.961683094,0.009674127,0.010211602
PA3271,,PA3271,0.660276382,0.031705676,1.696639782,1.151090066,-1.692539512,-0.164205193,0.963566232,0.356986532,0.003890438,0.021639329,0.054815249,0.803523719,0.082040048,0.679764929,0.001050104,0.01082726,0.021973785,0.725963514,0.041437567,0.582395261
PA4580,,PA4580,0.659472814,0.037664919,1.046557591,0.879625479,-0.327749076,0.296424739,0.70198036,0.616965268,0.000705362,0.000659246,0.493471288,0.334125817,0.014568032,0.12519748,0.000141063,0.000227462,0.365123719,0.23713668,0.005128725,0.070201114
PA2262,,PA2262,0.659114101,0.046698779,1.374768378,-2.223206651,-1.732238812,0.104173578,1.214054624,1.932767889,0.091156567,0.000407598,0.147341182,0.912347621,0.0972788,0.03615164,0.042282697,0.00013341,0.074679069,0.865273173,0.05111486,0.01557604
PA0060,,PA0060,0.65881799,0.247359931,-0.240312749,-0.376055269,1.040521655,1.452919009,1.201500371,0.277114325,0.757394846,0.484788229,0.186378527,0.00684539,0.030107477,0.757289556,0.651455272,0.394007422,0.10071244,0.002561315,0.012063069,0.673255709
PA4114,,PA4114,0.657199441,0.204651922,0.300040361,0.237036071,3.080223132,1.014358522,1.03385335,0.270266928,0.541543559,0.530697937,7.33E-12,0.00566545,0.005664363,0.652565757,0.407250641,0.439143695,1.58E-13,0.002053204,0.001673065,0.551089269
PA1655,,PA1655,0.655707034,0.103747851,1.622107571,0.720620652,-0.424975466,0.590793416,1.642722543,0.544916748,0.001256852,0.100201833,0.592664162,0.226710131,0.000399231,0.431759904,0.000281457,0.061355597,0.470553294,0.146140104,7.43E-05,0.326282581
