Locus,Name,LocusName,MedianSputumEffect,MedianSputumP,sp1.Est,sp2.Est,sp3.Est,sp4.Est,sp5.Est,sp6.Est,sp1.FDR,sp2.FDR,sp3.FDR,sp4.FDR,sp5.FDR,sp6.FDR,sp1.P,sp2.P,sp3.P,sp4.P,sp5.P,sp6.P
PA2491,mexS,mexS,7.509246396,0.000139483,9.435979569,11.17262982,5.174244721,10.97517763,5.582513223,0,1.29E-08,2.52E-12,0.015280921,1.49E-11,0.001235079,1,5.83E-10,1.61E-13,0.004744112,5.69E-13,0.000278966,1
PA3305.1,phrS,phrS,7.384523402,6.25E-16,5.513246324,8.333228224,8.483891961,8.797353077,5.99162784,6.43581858,1.05E-11,3.14E-22,1.33E-19,7.73E-23,1.08E-13,3.02E-12,2.33E-13,4.57E-24,6.77E-22,2.85E-25,1.25E-15,6.35E-15
PA4837,,PA4837,5.752336041,2.88E-13,6.322251672,6.403034363,0.54276828,6.330787168,5.18242041,4.450794534,3.12E-14,4.89E-16,0.632548058,5.05E-15,2.64E-11,6.52E-07,3.84E-16,1.71E-17,0.511988706,7.46E-17,5.75E-13,1.29E-08
PA4704.3,prrH,prrH,5.720114599,2.24E-09,5.737397902,5.702831296,5.814106613,6.374635755,4.734883877,1.129771544,1.25E-08,1.26E-09,6.44E-08,1.32E-10,5.88E-07,0.351025922,5.63E-10,1.31E-10,3.91E-09,6.80E-12,3.65E-08,0.251020555
PA5536,dksA2,dksA2,5.394374962,2.51E-21,5.508176695,5.918977503,-0.910897765,5.862470549,5.28057323,3.647496736,5.46E-19,1.20E-23,0.324857276,3.70E-22,7.12E-19,9.76E-08,2.01E-21,1.56E-25,0.210547196,1.49E-24,3.00E-21,1.27E-09
PA3432,,PA3432,5.345330941,0.000228556,7.487028691,2.916099571,-0.391047329,9.509029522,7.890050634,3.203633191,1.19E-10,0.001228015,0.824102421,7.61E-15,1.14E-11,0.006272567,3.45E-12,0.000457111,0.736456569,1.19E-16,2.12E-13,0.001731616
PA3601,,PA3601,5.215154172,1.03E-12,5.940475886,5.188218455,-0.16903719,6.752714557,5.24208989,3.152003301,1.63E-12,1.11E-11,0.906805937,1.27E-15,5.35E-11,0.000529745,3.09E-14,8.12E-13,0.847869759,1.56E-17,1.25E-12,6.79E-05
PA3600,,PA3600,4.939632076,1.48E-09,5.722453041,4.984069235,-0.735583867,5.785921621,4.895194917,2.035612857,1.62E-09,5.93E-09,0.596747419,2.28E-10,4.85E-08,0.052098082,5.86E-11,7.10E-10,0.47494727,1.26E-11,2.25E-09,0.024220396
PA4063,,PA4063,4.903988593,2.61E-20,4.997210982,5.129992694,1.365286473,4.931693826,4.876283361,3.147874322,8.08E-18,4.90E-21,0.053746112,8.63E-19,2.94E-18,1.55E-06,3.83E-20,8.61E-23,0.021458828,6.51E-21,1.39E-20,3.87E-08
PA4935,rpsF,rpsF,4.65582062,2.51E-08,4.159739586,5.000083715,7.077010955,8.07096829,4.311557525,1.03732134,3.56E-06,4.29E-09,9.04E-12,7.59E-16,7.59E-07,0.364623289,3.32E-07,4.91E-10,2.03E-13,8.93E-18,4.97E-08,0.263004864
PA4563,rpsT,rpsT,4.608543975,5.81E-12,4.444116384,5.541943514,3.317161092,5.31304564,4.772971565,-0.450649074,3.67E-10,8.79E-16,2.18E-05,4.10E-14,6.40E-12,0.670932783,1.15E-11,3.21E-17,2.49E-06,7.77E-16,1.10E-13,0.572141522
PA4836,,PA4836,4.60392992,1.72E-09,6.090668656,5.939545597,-1.650105064,4.430278127,4.777581713,3.516760768,8.91E-12,1.10E-12,0.196717373,3.29E-08,9.04E-09,0.000256,1.95E-13,6.52E-14,0.108382706,3.11E-09,3.27E-10,2.48E-05
PA2486,,PA2486,4.506844765,0.05888316,6.477899534,7.805196087,0,6.787860002,2.535789995,0,1.32E-05,9.65E-10,1,1.05E-06,0.19293393,1,1.45E-06,9.84E-11,1,1.45E-07,0.117764866,1
PA5316,rpmB,rpmB,4.467329465,1.70E-09,3.872564494,4.701552215,5.532282075,6.459981581,4.233106715,-0.005780753,1.52E-06,6.24E-10,8.86E-10,2.59E-14,6.92E-08,1,1.25E-07,6.16E-11,3.56E-11,4.59E-16,3.34E-09,0.994804073
PA4438,,PA4438,4.432902744,3.07E-16,4.263856597,4.992051568,1.167675328,4.670198487,4.601948892,2.285748241,4.66E-14,2.67E-20,0.108068244,2.07E-17,8.38E-17,0.000562449,6.13E-16,4.98E-22,0.050601277,2.03E-19,5.15E-19,7.30E-05
PA4274,rplK,rplK,4.422124669,8.53E-16,4.535116442,5.206255672,2.920145054,5.338111176,4.309132895,-0.004488581,5.07E-14,1.84E-19,1.21E-05,4.43E-19,9.03E-14,1,6.76E-16,3.77E-21,1.27E-06,2.95E-21,1.03E-15,0.994613248
PA0668.3,,PA0668.3,4.403618771,1.58E-05,4.706041505,7.053779966,3.590424082,6.36983105,4.101196038,-0.349610166,3.89E-05,4.88E-10,0.006084769,1.95E-08,0.000165458,0.857594799,4.96E-06,4.77E-11,0.001574052,1.70E-09,2.66E-05,0.799047172
PA2489,,PA2489,4.378034076,0.005916843,4.808895859,8.246434671,3.289390111,6.731234056,3.947172294,0,0.005392999,9.40E-11,0.183025808,1.78E-06,0.026490711,1,0.001521927,8.07E-12,0.098189185,2.59E-07,0.010311758,1
PA0526,,PA0526,4.348471331,1.22E-06,4.91144561,3.785497052,0.399403763,5.793734003,4.955445338,3.060440841,5.25E-07,1.02E-05,0.793987545,1.92E-09,1.98E-07,0.00465518,3.71E-08,2.39E-06,0.698118217,1.30E-10,1.08E-08,0.001193615
PA5049,rpmE,rpmE,4.327193057,4.69E-07,3.820408562,4.879839493,4.833977553,5.91305693,3.366814328,-2.312097351,8.67E-06,2.40E-09,4.33E-07,1.88E-11,3.34E-05,0.071374624,9.07E-07,2.60E-10,3.17E-08,7.67E-13,4.17E-06,0.03522288
PA4567,rpmA,rpmA,4.325729936,6.31E-07,3.922832361,4.719586885,7.128204244,7.033663561,3.931872988,-0.459166825,2.73E-05,7.79E-08,5.41E-11,2.25E-12,1.18E-05,0.747337777,3.32E-06,1.16E-08,1.52E-12,6.64E-14,1.25E-06,0.661298187
PA3410,hasI,hasI,4.317902075,8.55E-07,5.1164049,4.047832889,4.587971261,4.752656303,3.654829434,3.410652278,1.49E-07,2.40E-06,1.19E-05,1.89E-07,4.53E-05,0.001398487,8.95E-09,4.79E-07,1.23E-06,2.18E-08,5.84E-06,0.000254516
PA2446,gcvH2,gcvH2,4.273118063,2.75E-08,4.946185823,5.242169811,1.757610548,6.187741938,3.600050303,3.351623454,3.33E-10,1.55E-12,0.061495723,7.84E-15,8.32E-07,0.000151189,1.04E-11,9.45E-14,0.025370764,1.24E-16,5.50E-08,1.28E-05
PA2488,,PA2488,4.27199439,0.027879797,5.254598669,7.947712224,3.289390111,5.43466389,3.045140269,0,0.000912343,9.21E-12,0.178155877,0.000284097,0.103982297,1,0.000191659,6.62E-13,0.094924753,7.09E-05,0.055567935,1
PA1673,,PA1673,4.26848198,1.04E-06,3.168237405,5.86924602,3.979583057,7.159630621,4.557380904,2.930514573,0.00012517,1.83E-12,1.87E-05,2.79E-15,3.30E-08,0.002150561,1.93E-05,1.14E-13,2.08E-06,3.82E-17,1.44E-09,0.000447247
PA4432,rpsI,rpsI,4.261938688,2.56E-07,4.000968116,5.593541491,4.52290926,5.706335129,3.25582228,-0.284096483,3.47E-06,3.57E-11,2.23E-06,6.15E-11,5.73E-05,0.832652928,3.22E-07,2.84E-12,1.90E-07,2.85E-12,7.69E-06,0.767186359
PA2425,pvdG,pvdG,4.258366394,6.42E-08,6.259272893,4.047032711,5.167516794,3.052174044,4.469700077,2.272266655,5.69E-11,6.15E-07,1.86E-07,0.000173186,3.17E-07,0.026657606,1.51E-12,1.10E-07,1.28E-08,4.12E-05,1.84E-08,0.010713569
PA3431,,PA3431,4.236578858,0.003551182,6.559476885,1.999786601,0.820914354,7.812811874,6.473371115,1.94333305,3.89E-10,0.014834778,0.542524642,2.56E-13,2.46E-10,0.086291344,1.23E-11,0.007102365,0.415605486,6.02E-15,6.78E-12,0.044766096
PA4067,oprG,oprG,4.23448555,5.47E-09,4.442237172,6.352712246,4.026733928,6.190197439,3.92132307,3.374739685,1.99E-08,1.41E-15,3.31E-06,2.57E-14,1.85E-07,0.000176654,9.49E-10,5.31E-17,2.96E-07,4.51E-16,9.99E-09,1.56E-05
PA4934,rpsR,rpsR,4.230438663,6.62E-10,3.835291719,4.586586303,4.500812462,6.564573319,3.960064864,1.07891386,9.94E-08,1.28E-11,1.61E-08,7.02E-18,1.23E-08,0.236219038,5.62E-09,9.46E-13,8.60E-10,6.28E-20,4.64E-10,0.154135202
PA2485,,PA2485,4.131964277,0.027443529,4.974538443,7.033686852,3.289390111,6.073023234,3.085244354,0,0.002673572,2.85E-08,0.179877537,2.00E-05,0.101972641,1,0.00067942,3.89E-09,0.096063065,3.77E-06,0.054207639,1
PA4568,rplU,rplU,4.058272541,1.53E-05,3.659598782,4.4569463,7.415986949,7.616996859,3.576296978,-0.334441869,0.000263548,1.88E-06,3.33E-10,5.32E-12,0.000183547,0.830660529,4.59E-05,3.69E-07,1.16E-11,1.80E-13,3.02E-05,0.764767486
PA4741,rpsO,rpsO,4.049402633,8.06E-09,4.301688705,4.262860598,3.08880419,4.818840565,3.835944669,-0.722341001,3.88E-08,2.68E-09,0.00040682,1.95E-10,2.53E-07,0.52695884,1.95E-09,2.94E-10,6.74E-05,1.05E-11,1.42E-08,0.418385713
PA1922,,PA1922,4.014428814,9.38E-22,4.863240372,5.483514907,-1.551032091,4.085485862,3.943371765,3.788407005,6.32E-25,1.69E-33,0.023727833,2.09E-20,4.55E-19,8.36E-13,1.22E-27,7.69E-36,0.007981129,1.17E-22,1.76E-21,1.32E-15
PA4835,,PA4835,3.937763215,3.62E-10,5.558576474,5.682828173,0.924633794,3.559927969,4.315598462,3.361228525,1.76E-15,6.67E-18,0.301182781,9.10E-09,2.58E-11,1.33E-05,1.56E-17,1.78E-19,0.190287471,7.24E-10,5.58E-13,5.43E-07
PA0523,norC,norC,3.936168221,0.007290983,4.444476692,1.483740199,0.332892911,8.399063484,6.120921142,3.427859749,0.002421755,0.229578655,0.891409068,1.81E-07,4.83E-05,0.033006341,0.000604376,0.162493983,0.82570324,2.08E-08,6.28E-06,0.013977589
PA5570,rpmH,rpmH,3.928827993,1.01E-13,4.033891267,4.393906591,3.248880771,4.394911939,3.823764719,-0.361783377,4.24E-12,6.92E-16,5.36E-07,6.43E-15,6.64E-12,0.684852385,8.63E-14,2.47E-17,4.00E-08,9.81E-17,1.15E-13,0.588699014
PA0518,nirM,nirM,3.921014001,2.82E-05,2.965063994,3.160497187,2.267927175,5.372707957,4.681530814,4.904185105,0.001812279,0.000185296,0.048921682,1.71E-08,8.13E-07,1.07E-05,0.000431919,5.60E-05,0.019129082,1.46E-09,5.33E-08,4.13E-07
PA2386,pvdA,pvdA,3.918847189,2.75E-07,5.560049805,3.645281755,5.59559414,2.304889699,4.192412623,1.9160756,8.57E-10,2.53E-06,7.53E-09,0.003066816,6.12E-07,0.059014351,2.92E-11,5.11E-07,3.75E-10,0.001026937,3.83E-08,0.028026121
PA3599,,PA3599,3.901406243,8.30E-08,4.540586282,3.978400877,2.016464354,4.655557849,3.824411608,1.384716417,9.18E-08,1.72E-07,0.043745964,8.99E-09,1.78E-06,0.175398196,5.12E-09,2.72E-08,0.016775172,7.12E-10,1.39E-07,0.10684576
PA5538,amiA,amiA,3.898133479,1.90E-10,4.780851003,4.939703917,-1.194313777,4.241873576,3.554393382,1.858304829,7.97E-13,2.77E-15,0.223570729,1.22E-11,1.03E-08,0.015787942,1.37E-14,1.12E-16,0.128224664,4.59E-13,3.80E-10,0.005552656
PA4541.2,,PA4541.2,3.896270608,5.97E-09,4.200649252,6.504750125,2.317064641,5.709394146,3.591891963,-1.71169326,8.44E-09,1.12E-18,0.007378869,7.42E-15,2.11E-07,0.127332171,3.63E-10,2.53E-20,0.001986519,1.15E-16,1.16E-08,0.071800328
PA4838,,PA4838,3.84720516,1.25E-13,4.042751148,4.67851026,0.472696455,4.734163383,3.651659172,3.355969698,9.92E-13,3.16E-18,0.571798045,1.71E-17,1.22E-11,3.38E-07,1.74E-14,7.77E-20,0.447965334,1.65E-19,2.32E-13,5.76E-09
PA3744,rimM,rimM,3.811384329,7.30E-13,4.214413954,4.950858442,2.142063827,5.101589876,3.408354705,0.973063185,3.45E-14,1.26E-20,0.000894517,2.23E-20,6.04E-11,0.165324098,4.42E-16,2.32E-22,0.000165622,1.33E-22,1.46E-12,0.099258291
PA0781,,PA0781,3.806013052,8.82E-29,4.629363801,4.504048948,-1.442170368,4.002375931,3.609650172,2.934613462,2.03E-35,6.23E-39,0.006684912,1.06E-30,1.36E-25,3.61E-12,3.56E-39,1.53E-41,0.00175886,1.87E-33,1.76E-28,8.23E-15
PA5537,,PA5537,3.800309531,5.68E-08,4.532118839,4.699679308,-0.097274219,4.321858825,3.278760236,1.139005843,6.97E-10,6.31E-12,0.943620768,4.66E-10,1.50E-06,0.208823372,2.31E-11,4.37E-13,0.904023768,2.72E-11,1.14E-07,0.132374521
PA0161,,PA0161,3.789029865,5.47E-07,4.1505803,3.42747943,1.322989261,6.340564865,5.67593582,0.785666114,9.90E-07,4.72E-06,0.225127472,5.42E-13,5.06E-11,0.48602889,7.46E-08,1.02E-06,0.129394958,1.36E-14,1.17E-12,0.377543909
PA2753,,PA2753,3.778253998,1.80E-05,2.07479907,4.552068735,3.725865278,5.181487963,3.830642718,0.839924604,0.021568473,7.14E-08,0.000226256,7.10E-09,9.80E-06,0.485003598,0.007653818,1.05E-08,3.50E-05,5.52E-10,1.01E-06,0.375567209
PA3126,ibpA,ibpA,3.7712001,0.000106991,3.068930136,4.473470063,0.872498098,6.891569708,4.492714778,-0.089955842,0.000998143,3.54E-07,0.504269949,7.59E-12,1.32E-06,0.958239341,0.000213886,6.01E-08,0.375857226,2.68E-13,9.59E-08,0.93081528
PA5569,rnpA,rnpA,3.760029324,1.45E-13,3.984387826,4.08879057,2.662493647,3.929623093,3.590435554,0.212458309,1.06E-12,2.51E-15,2.67E-05,1.54E-13,1.37E-11,0.804304169,1.89E-14,1.00E-16,3.14E-06,3.44E-15,2.71E-13,0.732173696
PA4896,,PA4896,3.756392056,2.71E-05,4.619495494,2.615221776,4.579971919,4.879423665,2.932812193,1.85974319,1.99E-07,0.000498299,2.25E-06,1.01E-08,0.00030169,0.07079138,1.25E-08,0.00016677,1.92E-07,8.25E-10,5.41E-05,0.034873886
PA4065,,PA4065,3.754107076,8.13E-13,4.311779627,4.336853165,3.80388917,3.704324983,3.591778288,1.851584217,1.33E-13,8.79E-16,2.36E-09,9.27E-12,5.49E-11,0.006826448,1.94E-15,3.23E-17,1.03E-10,3.35E-13,1.29E-12,0.001916868
PA2851,efp,efp,3.741335502,3.35E-09,3.04117435,3.900862578,4.574348671,4.867398143,3.581808426,-0.129533358,1.42E-05,1.78E-09,6.14E-09,3.57E-12,1.24E-07,0.914613105,1.57E-06,1.90E-10,2.95E-10,1.13E-13,6.41E-09,0.870471546
PA4245,rpmD,rpmD,3.688476817,2.65E-26,3.987840342,4.165217714,1.788933407,4.169343662,3.389113292,0.299091966,3.59E-28,5.17E-35,3.09E-05,4.63E-33,2.25E-23,0.574535254,3.15E-31,1.90E-37,3.69E-06,4.87E-36,5.30E-26,0.467150199
PA4141,,PA4141,3.676390924,0.000163419,4.902273926,4.132345503,3.130676692,3.220436344,5.61195374,0.724911575,8.81E-06,2.45E-05,0.010482765,0.001100605,3.62E-07,0.620643754,9.25E-07,6.20E-06,0.002996916,0.00032064,2.13E-08,0.516840051
PA5539,,PA5539,3.67593541,5.10E-13,4.247441161,3.881038474,-0.910647215,3.902634777,3.470832346,2.008859152,3.74E-14,2.74E-14,0.280789231,1.74E-13,4.46E-11,0.002255904,4.86E-16,1.25E-15,0.173017022,3.90E-15,1.02E-12,0.000481514
PA4933,,PA4933,3.667919153,7.35E-09,3.705801131,4.256341343,3.630037175,5.692397196,3.215779256,0.788855837,1.81E-08,4.17E-12,7.45E-07,3.75E-17,2.49E-07,0.365398564,8.59E-10,2.76E-13,5.78E-08,3.81E-19,1.38E-08,0.264077095
PA4272.1,P27,P27,3.663427973,5.35E-28,3.826419516,4.231199643,0.528402796,4.039621306,3.500436429,-0.156464895,1.11E-26,2.44E-36,0.308841087,6.96E-32,5.46E-25,0.786639524,1.55E-29,7.72E-39,0.197082953,9.77E-35,1.05E-27,0.710709068
PA3743,trmD,trmD,3.65894883,7.22E-12,3.951806311,4.738278561,1.818345561,4.989203305,3.366091349,0.79969639,5.56E-12,4.34E-18,0.008072437,2.16E-18,4.89E-10,0.286178967,1.16E-13,1.11E-19,0.002217157,1.74E-20,1.43E-11,0.194870901
PA2411,,PA2411,3.619926951,3.85E-06,5.243326299,3.19619231,5.193545888,2.954752647,4.043661592,1.587694008,6.69E-09,2.96E-05,8.63E-08,0.000194213,1.50E-06,0.12926351,2.78E-10,7.59E-06,5.41E-09,4.67E-05,1.14E-07,0.073275151
PA4271,rplL,rplL,3.597373383,6.51E-12,3.860963586,4.372348752,0.455951496,4.045648042,3.33378318,-1.617342249,8.91E-12,1.89E-16,0.585730396,8.83E-14,4.46E-10,0.048427536,1.96E-13,6.20E-18,0.463095022,1.84E-15,1.28E-11,0.022156583
PA3745,rpsP,rpsP,3.59104548,1.12E-06,4.070277254,5.26969007,3.081347356,5.158851916,3.111813706,0.190921899,1.90E-07,2.85E-12,0.000453775,2.39E-11,1.94E-05,0.875995226,1.18E-08,1.84E-13,7.64E-05,1.00E-12,2.23E-06,0.822187166
PA4262,rplD,rplD,3.585693416,1.54E-08,3.316963092,3.854423741,4.308717034,5.453543831,3.061878216,-0.165212939,4.41E-07,1.90E-10,4.35E-09,5.41E-16,9.02E-07,0.878393849,3.06E-08,1.72E-11,2.01E-10,6.26E-18,6.06E-08,0.824900928
PA5426,purE,purE,3.58374481,4.24E-09,3.077918858,4.061782307,3.663520145,4.289882546,2.746913947,3.503969475,1.55E-07,1.27E-13,2.68E-08,7.46E-14,7.43E-07,3.90E-07,9.48E-09,6.50E-15,1.50E-09,1.54E-15,4.85E-08,6.99E-09
PA2427,,PA2427,3.582570315,4.27E-05,5.086244788,2.977891443,5.842144762,2.774467916,4.187249188,1.721713016,1.54E-07,0.000271701,3.22E-08,0.001132321,4.17E-06,0.123720434,9.36E-09,8.50E-05,1.84E-09,0.000331867,3.71E-07,0.069260366
PA4670,prs,prs,3.579563948,1.78E-07,3.242407051,4.522303233,3.876826878,5.2838417,3.282301018,-0.392987829,8.18E-06,5.62E-11,2.08E-06,7.92E-13,2.25E-06,0.727241094,8.49E-07,4.66E-12,1.76E-07,2.07E-14,1.80E-07,0.637644175
PA0524,norB,norB,3.572840293,0.000271696,3.605353788,0.54688019,-0.342927279,4.839185381,3.833380482,3.540326797,0.000408291,0.55505877,0.845532238,1.21E-06,9.42E-05,0.002213916,7.60E-05,0.463868037,0.763456589,1.68E-07,1.38E-05,0.000467417
PA2393,,PA2393,3.551071507,1.94E-06,5.227745355,3.408987383,3.693155631,1.710895695,3.828762705,1.945581201,2.41E-10,1.46E-06,3.03E-05,0.017185136,5.60E-07,0.03676454,7.35E-12,2.80E-07,3.61E-06,0.007277594,3.42E-08,0.015930441
PA4273,rplA,rplA,3.547088465,1.40E-10,3.912582583,4.357651982,0.346398815,4.273061035,3.181594348,-0.843668384,2.35E-11,1.81E-15,0.70185706,4.10E-14,7.75E-09,0.316887919,5.48E-13,6.97E-17,0.590629099,7.70E-16,2.79E-10,0.222399928
PA5534,,PA5534,3.544133096,9.46E-17,4.570989912,4.668049239,-1.209827875,3.561957249,3.526308943,2.032852382,1.56E-20,2.77E-24,0.094107768,4.76E-15,1.21E-14,0.000429606,4.64E-23,3.36E-26,0.042726711,6.77E-17,1.22E-16,5.11E-05
PA5535,,PA5535,3.532142102,4.07E-14,4.265215573,4.530699329,-0.798064232,3.743106199,3.321178006,1.905375343,1.15E-16,5.56E-21,0.298717996,9.17E-15,5.03E-12,0.001677764,8.44E-19,9.86E-23,0.187786568,1.49E-16,8.12E-14,0.000324187
PA2392,pvdP,pvdP,3.529386,1.17E-05,5.269766158,3.171626462,4.367282816,2.232616535,3.887145538,1.470004206,2.90E-08,7.73E-05,1.68E-05,0.006692828,9.15E-06,0.185729038,1.43E-09,2.15E-05,1.85E-06,0.002491311,9.28E-07,0.114573108
PA2679,,PA2679,3.526446802,4.07E-08,3.915404427,3.553725736,0.904178339,3.804052196,3.499167868,1.932052557,1.83E-07,1.25E-07,0.375045163,6.47E-08,9.21E-07,0.028001857,1.13E-08,1.93E-08,0.253474714,6.54E-09,6.21E-08,0.011401248
PA2970,rpmF,rpmF,3.515052461,2.01E-09,3.59600014,4.458706875,2.875825665,4.444552502,3.434104781,-1.125083368,4.23E-08,5.90E-13,0.000115348,3.61E-12,4.01E-08,0.236609428,2.18E-09,3.34E-14,1.65E-05,1.15E-13,1.84E-09,0.154472986
PA2775.1,,PA2775.1,3.500314549,0.032654129,0,3.026455659,0,4.189861396,3.97417344,4.846078857,1,0.093888196,1,0.015807755,0.02269828,0.00740651,1,0.056731671,1,0.006622168,0.008576588,0.002125245
PA3822,,PA3822,3.487610918,2.55E-06,2.842642959,3.782679735,6.25100414,6.029270972,3.192542101,0.377510495,0.000486005,4.18E-07,3.20E-11,1.57E-12,3.97E-05,0.756670093,9.22E-05,7.18E-08,8.54E-13,4.45E-14,5.03E-06,0.672079211
PA1581,sdhC,sdhC,3.486041701,1.17E-06,3.095416476,3.876666926,2.175743822,4.235947322,3.907276168,-0.298735726,2.02E-05,7.10E-09,0.012008618,1.74E-09,3.51E-08,0.793631395,2.34E-06,8.63E-10,0.003559592,1.16E-10,1.57E-09,0.718762789
PA4244,rplO,rplO,3.485516454,6.77E-17,3.776059451,3.969948833,1.196059377,3.937899206,3.194973457,-0.403113631,1.28E-17,2.62E-22,0.032555497,1.34E-20,1.33E-14,0.543168478,6.51E-20,3.77E-24,0.011764087,6.57E-23,1.35E-16,0.434496652
PA2426,pvdS,pvdS,3.468853864,8.45E-08,4.529473677,3.013084967,5.172835589,3.66405732,3.273650408,1.828269887,1.10E-09,2.59E-06,2.24E-10,8.00E-08,2.03E-06,0.033926305,3.84E-11,5.24E-07,7.42E-12,8.31E-09,1.61E-07,0.014456488
PA3209,,PA3209,3.451193954,4.49E-09,3.41509838,3.487289528,2.583817907,3.717618992,3.050477916,4.461249154,1.45E-07,2.88E-09,0.000664316,1.44E-09,7.41E-07,4.11E-09,8.66E-09,3.17E-10,0.000118453,9.51E-11,4.82E-08,2.45E-11
PA1999,dchA,dchA,3.431964741,1.91E-13,3.958506554,7.208980518,1.80978445,1.848594016,2.905422928,5.037955793,1.86E-17,6.91E-48,0.001121012,9.54E-06,1.88E-11,1.77E-21,1.01E-19,8.49E-51,0.000216346,1.67E-06,3.82E-13,6.23E-25
PA3397,fprA,fprA,3.411545574,1.76E-10,3.938689824,2.884401324,2.875814864,4.542558143,4.398942826,2.440405767,1.24E-12,3.17E-09,4.29E-06,5.28E-17,5.32E-16,0.000197414,2.31E-14,3.52E-10,3.90E-07,5.56E-19,4.01E-18,1.80E-05
PA5475,,PA5475,3.410483638,2.62E-05,2.311737436,4.192313056,3.418442643,4.258652312,3.402524632,1.660829519,0.005628991,7.09E-08,0.000310354,1.24E-07,2.02E-05,0.100530041,0.001601368,1.04E-08,5.00E-05,1.36E-08,2.34E-06,0.053811272
PA0525,,PA0525,3.406047408,0.000143161,3.989255268,1.828607285,-1.209215725,3.509795412,4.045773428,3.302299404,1.41E-05,0.018665918,0.387240303,3.51E-05,4.80E-06,0.001495755,1.56E-06,0.009185545,0.264231361,7.02E-06,4.37E-07,0.000279306
PA5315,rpmG,rpmG,3.369494471,6.82E-05,2.987306941,3.751682001,6.500473274,6.160099914,2.975901172,-1.420989218,0.001221506,8.51E-06,1.30E-09,1.83E-10,0.000659585,0.296700445,0.000272899,1.97E-06,5.46E-11,9.85E-12,0.00013451,0.204586881
PA0836.1,P5,P5,3.366207586,0.050506519,2.961041993,3.771373179,0,5.151760654,4.327063957,2.492354687,0.161299091,0.032511101,1,0.001743628,0.013887537,0.259076587,0.08394799,0.017065047,1,0.000541326,0.004842846,0.172460073
PA0514,nirL,nirL,3.348530247,9.94E-05,3.049800595,3.647259898,-1.290796637,2.637256961,4.453815451,5.755334526,0.000927668,1.19E-05,0.38893689,0.001862811,1.05E-06,1.42E-07,0.000196018,2.85E-06,0.265662052,0.000585193,7.16E-08,1.98E-09
PA4932,rplI,rplI,3.341560377,8.82E-07,3.066915954,3.6162048,4.219084899,5.400067446,2.914200876,-0.285481937,1.76E-05,2.86E-08,1.39E-07,1.40E-13,1.58E-05,0.800040699,2.00E-06,3.91E-09,9.18E-09,3.04E-15,1.75E-06,0.726560102
PA2259,ptxS,ptxS,3.341533497,6.01E-05,4.862782819,1.182476584,1.646674597,3.415916727,4.028575237,3.267150267,2.71E-08,0.104268021,0.120188067,1.40E-05,1.01E-06,0.000803443,1.33E-09,0.064229686,0.057942545,2.55E-06,6.92E-08,0.000117715
PA2412,,PA2412,3.317242802,0.000139345,4.911810419,2.756177512,6.000651616,2.805644723,3.82884088,0.829629473,4.83E-07,0.000781131,2.22E-08,0.001150019,2.49E-05,0.511490137,3.36E-08,0.000275735,1.23E-09,0.000338063,2.96E-06,0.402513474
PA5051,argS,argS,3.294102687,1.23E-10,2.875487589,3.712717785,4.343278564,4.207300928,2.673584831,1.9020944,5.97E-09,5.42E-16,5.83E-15,4.41E-18,1.06E-08,0.001503486,2.45E-10,1.90E-17,7.36E-17,3.71E-20,3.94E-10,0.000281013
PA0541,,PA0541,3.282161608,1.73E-21,3.264008465,3.977030825,2.863650561,3.607771269,3.259490782,3.300314751,8.85E-19,6.28E-31,9.91E-12,1.18E-24,1.28E-20,3.17E-14,3.42E-21,3.75E-33,2.24E-13,3.31E-27,4.06E-23,1.67E-17
PA3686,adk,adk,3.264233855,9.55E-15,3.077103288,3.325092757,4.157966054,3.556965086,3.203374952,1.628636934,7.20E-11,1.11E-14,4.86E-15,4.04E-15,1.31E-12,0.004875202,1.96E-12,4.85E-16,5.88E-17,5.67E-17,1.86E-14,0.001266286
PA1925,,PA1925,3.259298278,1.91E-13,4.796277566,4.93060151,-1.073827455,2.896994941,3.449461996,3.06913456,2.05E-24,7.34E-29,0.146558062,1.03E-11,2.59E-15,1.45E-08,4.32E-27,5.41E-31,0.074153544,3.81E-13,2.28E-17,1.15E-10
PA1746,,PA1746,3.250571715,0.001494711,2.42857756,6.367556344,1.442446285,4.924259896,4.07256587,1.530881631,0.009599062,3.62E-11,0.233042296,1.05E-07,8.72E-06,0.181874117,0.002988546,2.89E-12,0.135498267,1.13E-08,8.76E-07,0.112003559
PA4602,glyA3,glyA3,3.241375295,7.09E-09,2.732124837,3.596987298,3.831684166,4.275636676,2.885763293,1.564092908,3.35E-06,2.79E-11,6.82E-09,1.34E-13,2.49E-07,0.029388571,3.09E-07,2.19E-12,3.38E-10,2.90E-15,1.38E-08,0.012136066
PA3746,ffh,ffh,3.231435633,1.17E-09,2.902244371,3.657911857,3.560626895,3.866728659,2.395825172,1.423692172,4.33E-08,7.63E-14,2.36E-09,4.67E-14,1.48E-06,0.029236181,2.24E-09,3.74E-15,1.04E-10,8.94E-16,1.11E-07,0.012060625
PA4261,rplW,rplW,3.211633844,2.21E-13,3.377956743,3.909487229,1.811967543,4.380061097,3.045310944,-0.266463518,1.86E-12,2.06E-18,0.001812408,1.65E-20,1.98E-11,0.724515787,3.59E-14,4.99E-20,0.000376922,8.69E-23,4.06E-13,0.634873171
